	non peated	word			none	100		
	not peated	word			none	100		
	unpeated	word			none	100		
	неторф	prefix			none	100		Ukrainian negation, inflected
benriach	authenticus	word			heavy	60	https://escapementmagazine.com/articles/benriach-speyside-single-malt-scotch-whisky/	25yo peated expression.
benriach	birnie moss	word			heavy	60	https://www.benriachdistillery.com/our-whiskies/birnie-moss/	"Intensely Peated" NAS expression.
teeling	blackpitts	word			heavy	60	https://www.teelingwhiskey.com/	officially branded 'Blackpitts Peated Single Malt' on teelingwhiskey.com; exact ppm not stated, heavy is a judgment call given it is marketed as the house's dedicated peated expression
paul-john	bold	word			medium	60	https://www.pauljohnwhisky.com/bold.php	Confirmed peated to about 25ppm.
penderyn	celt	word			medium	60	https://en.wikipedia.org/wiki/Penderyn_(whisky)	Wikipedia: 'the Dragon range comprising Legend (Madeira finish), Myth (Bourbon finish) and Celt (Peated)' -- Celt is Penderyn's peated Dragon-range expression; Legend/Myth are not peated so no rule needed for them.
benriach	curiositas	word			heavy	60	https://thewhiskeyjug.com/scotch-whisky/benriach-curiositas-peated-malt-10-years-review/	10yo peated expression (heavily peated malt).
paul-john	edited	word			light	60	https://maltmileage.wordpress.com/2016/12/20/paul-john-indian-single-malt-whisky-brilliance-classic-edited-bold-and-peated/	Described as mildly peated, lighter than Bold.
clydeside	fortnight	word			heavy	60	https://www.theclydeside.com/our-whisky/our-whiskies/ https://en.wikipedia.org/wiki/Clydeside_Distillery	'Fortnight' is a heavily peated (54ppm) once-a-year release, distinct from the unpeated core Stobcross/Napier range.
speyside-distillery	fumare	word			heavy	60	https://www.masterofmalt.com/whiskies/speyside/spey-fumare-whisky/ https://www.htfw.com/speyside-distillery-spey-fumare-peated-single-malt-scotch-whisky	Spey Fumare (2016) was explicitly 'the first ever peated whisky from the Speyside distillery'; core range stays none.
amrut	fusion	word			light	60	https://cellarbration.com.sg/amrut-fusion-single-malt-whisky.html https://theliquorbarn.com/products/amrut-fusion-750ml	25% peated Scottish malt / 75% unpeated Indian malt; described as "gentle peat presence"
	heavily peated	word			heavy	60		
kilkerran	heavily peated	word			heavy	60	https://kilkerran.scot/kilkerran-bottlings/heavily-peated/	Distillery's own product page: 'A departure from our typically lightly peated single malt, our Heavily Peated Kilkerran is released twice per year at cask strength and around 45PPM.' Supersedes out/08/rule.tsv's same-pattern row, which had no citation.
hakushu	heavily peated	word			heavy	60	https://en.wikipedia.org/wiki/Hakushu_distillery	2013 limited series explicitly named 'Heavily Peated', distinct from the core range (see producer.tsv note, peatProfile=light there)
clan-denny	islay	word			heavy	60	https://www.masterofmalt.com/whiskies/douglas-laing/clan-denny-islay-blended-malt-whisky/	Clan Denny Islay blended malt vats Ardbeg, Bowmore, Bruichladdich, Bunnahabhain, Caol Ila and 2 undisclosed Islay distilleries - described as having phenolic/smoked character. Highland and Speyside editions are NOT covered by this rule and fall back to the producer row's own unpeated baseline.
	lightly peated	word			light	60		
arran	machrie moor	word			medium	60	https://en.wikipedia.org/wiki/Isle_of_Arran_Distillery	Arran's peated expression line (first released 8 Dec 2010 per Wikipedia); core Arran is unpeated. No specific ppm source found, recorded as medium.
bunnahabhain	moine	word			heavy	60		Bunnahabhain's core range is unpeated but its Mòine range is heavily peated. This exact pairing is stated in this research task's own brief as a known sibling case; not independently re-verified via an opened source, so sourceUrls is left empty per the "never invent a citation" rule even though the note is confident.
wolfburn	morven	word			light	60	https://www.wolfburn.com/	Morven is Wolfburn's one peated expression ("a delicate touch of peat"); the rest of the core range including this batch's sample Langskip is unpeated (see producer row).
elements-of-islay	peat	word			heavy	60	https://scotchwhisky.com/whiskypedia/2029/elements-of-islay/	Permanent no-age-statement expression named simply 'Peat', introduced 2016; treated as heavy given the Islay peated-malt convention.
hyde	peat	word			heavy	60	https://www.homeofmalts.com/en/20535/hyde-no.-11-the-peat-cask	"Hyde No. 11 The Peat Cask" and similar releases are heavily peated; base range otherwise mixed/unpeated. Pattern may not catch every peated release name in the full 23-product catalogue.
