ardbeg	maritime	baseline	high	https://en.wikipedia.org/wiki/Ardbeg_distillery	Coastal Islay character noted alongside its heavy peat/smoke.
ardmore	fruity	baseline	high	https://www.ardmorewhisky.com/	same official-site description as vanilla/honey/spicy above
ardmore	honey	baseline	high	https://www.ardmorewhisky.com/	Legacy expression explicitly 'balanced by honey and spice flavors' per official site
ardmore	spicy	baseline	high	https://www.ardmorewhisky.com/	paired with the honey note on Legacy per official site
ardmore	vanilla	baseline	high	https://www.ardmorewhisky.com/	official site: range paired with vanilla, honey, spice and fruit notes for complexity
ballantines-brasil	citrus	require	high	https://www.ballantines.com/en/range/ballantines-brasil/ https://www.masterofmalt.com/spirit/ballantines/ballantines-brasil-spirit/	Lime infusion is this product's defining flavour
ballantines-brasil	vanilla	baseline	high	https://www.ballantines.com/en/range/ballantines-brasil/	Bottled with added vanilla extract
black-bottle	honey	baseline	low	https://scotchwhisky.com/whiskypedia/2323/black-bottle/	scotchwhisky.com tasting-note summary lists "honey" among the current blend's flavours.
black-bottle	oak	baseline	low	https://scotchwhisky.com/whiskypedia/2323/black-bottle/	Same source lists "floral and oak aromas" for the current blend.
bunnahabhain	sherry	baseline	high	https://topwhiskies.com/blogs/distilleries/bunnahabhain-distillery	Distillery 'often favours different sherry maturations'.
chita	citrus	baseline	high	https://en.wikipedia.org/wiki/Chita_distillery	Official infobox states "Citrus notes" as a taste characteristic.
chivas-regal	sherry	baseline	high	https://thewhiskeyjug.com/scotch-whiskey/chivas-regal-12-years-review/	Reviews consistently describe a sherried nose (sherry, cola, apples).
chivas-regal	vanilla	baseline	high	https://thewhiskeyjug.com/scotch-whiskey/chivas-regal-12-years-review/	Palate described as malty/creamy with vanilla sweetness.
clydeside	fruity	baseline	high	https://www.theclydeside.com/our-whisky/our-whiskies/	Producer describes the core Lowland style as 'light, fruity and elegant'.
dufftown	fruity	baseline	high	https://en.wikipedia.org/wiki/Dufftown_distillery	Described as a sweet, fruity malt.
